states,no_cases_lab_confirmed,no_cases_admission,no_discharged,no_deaths,region,Population,Overall CCVI Index,Age,Epidemiological,Fragility,Health System,Population Density,Socio-Economic, Transport Availability,Acute IHR,states_infection_rate
Lagos,104014.0,871.0,102372.0,771.0,South West,13992000.0,0.0,0.1,1.0,0.3,0.1,1.0,0.1,0.4,0.93,0.007433819325328759
FCT,29464.0,143.0,29072.0,249.0,North Central,4865000.0,0.3,0.0,0.9,0.4,0.6,0.9,0.6,0.2,0.79,0.006056320657759507
Rivers,18044.0,89.0,17800.0,155.0,South South,7763000.0,0.4,0.5,0.9,0.6,0.6,0.9,0.1,0.1,1.0,0.0023243591395079224
Kaduna,11576.0,11.0,11476.0,89.0,North West,9227000.0,0.7,0.1,0.9,0.8,0.9,0.4,0.6,0.4,0.86,0.0012545789530725047
Oyo,10332.0,3.0,10127.0,202.0,South West,8737000.0,0.2,0.7,0.8,0.2,0.8,0.6,0.2,0.3,1.06,0.0011825569417420168
Plateau,10330.0,3.0,10252.0,75.0,North Central,4766000.0,0.4,0.5,0.4,0.8,0.3,0.3,0.5,0.3,0.93,0.0021674360050356694
Edo,7923.0,0.0,7601.0,322.0,South South,4705000.0,0.1,0.9,0.8,0.1,0.1,0.5,0.4,0.3,1.09,0.0016839532412327312
Ogun,5810.0,11.0,5717.0,82.0,South West,5878000.0,0.3,0.6,0.7,0.5,0.6,0.6,0.0,0.2,1.07,0.000988431439265056
Delta,5784.0,502.0,5170.0,112.0,South South,6303000.0,0.4,0.6,0.7,0.2,1.0,0.6,0.5,0.4,1.08,0.0009176582579723941
Kano,5339.0,144.0,5068.0,127.0,North West,14726000.0,0.6,0.2,0.1,0.3,0.4,0.8,0.8,0.5,0.87,0.00036255602336004344
Ondo,5173.0,315.0,4749.0,109.0,South West,5185000.0,0.1,0.8,0.5,0.1,0.3,0.6,0.3,0.3,1.04,0.0009976856316297011
Akwa Ibom,5004.0,7.0,4953.0,44.0,South East,6093000.0,0.7,0.8,0.7,0.6,0.8,0.8,0.5,0.1,1.01,0.0008212703101920237
Kwara,4691.0,452.0,4175.0,64.0,North Central,3524000.0,0.3,0.4,0.3,0.2,0.4,0.2,0.6,0.7,0.93,0.0013311577752553917
Gombe,3313.0,8.0,3239.0,66.0,North East,3692000.0,1.0,0.4,0.4,0.9,0.9,0.3,0.8,0.7,0.83,0.0008973456121343445
Osun,3311.0,29.0,3190.0,92.0,South West,5252000.0,0.0,0.7,0.4,0.4,0.0,0.8,0.1,0.2,1.06,0.0006304265041888804
Enugu,2952.0,13.0,2910.0,29.0,South East,4801000.0,0.2,0.9,0.4,0.0,0.3,0.7,0.4,0.1,1.14,0.0006148719016871485
Anambra,2825.0,46.0,2760.0,19.0,South East,6050000.0,0.6,0.9,1.0,0.6,0.2,1.0,0.0,0.1,1.08,0.0004669421487603306
Nasarawa,2779.0,395.0,2345.0,39.0,,,,,,,,,,,,
Imo,2678.0,30.0,2590.0,58.0,South East,6018000.0,0.4,1.0,0.9,0.0,0.4,0.9,0.4,0.0,1.12,0.0004449983383183782
Ekiti,2464.0,6.0,2430.0,28.0,South West,3593000.0,0.3,0.8,0.3,0.5,0.2,0.8,0.1,0.4,1.03,0.0006857779014750905
Katsina,2418.0,0.0,2381.0,37.0,North West,8713000.0,0.7,0.1,0.1,0.3,0.2,0.6,0.9,0.8,0.85,0.0002775163548720303
Benue,2317.0,88.0,2204.0,25.0,North Central,6376000.0,0.5,0.7,0.5,0.7,0.4,0.4,0.3,0.5,0.91,0.0003633939774153074
Abia,2261.0,-1.0,2228.0,34.0,South East,4190000.0,0.2,0.9,0.6,0.1,0.3,0.9,0.2,0.0,1.14,0.000539618138424821
