states_affected,no_cases_lab_confirmed,no_cases_admission,no_discharged,no_deaths
Lagos,104014,871,102372,771
FCT,29464,143,29072,249
Rivers,18044,89,17800,155
Kaduna,11576,11,11476,89
Oyo,10332,3,10127,202
Plateau,10330,3,10252,75
Edo,7923,0,7601,322
Ogun,5810,11,5717,82
Delta,5784,502,5170,112
Kano,5339,144,5068,127
Ondo,5173,315,4749,109
Akwa Ibom,5004,7,4953,44
Kwara,4691,452,4175,64
Gombe,3313,8,3239,66
Osun,3311,29,3190,92
Enugu,2952,13,2910,29
Anambra,2825,46,2760,19
Nasarawa,2779,395,2345,39
Imo,2678,30,2590,58
Ekiti,2464,6,2430,28
Katsina,2418,0,2381,37
Benue,2317,88,2204,25
Abia,2261,-1,2228,34
Ebonyi,2064,28,2004,32
Bauchi,2001,10,1967,24
Borno,1629,5,1580,44
Taraba,1478,67,1377,34
Bayelsa,1364,1,1335,28
Adamawa,1312,134,1140,38
Niger,1183,165,998,20
Cross River,919,2,892,25
Sokoto,822,0,794,28
Jigawa,669,2,649,18
Yobe,638,4,625,9
Kebbi,480,10,454,16
Zamfara,375,0,366,9
Kogi,5,0,3,2
